Date,Coin,Qty,Side,Price,Note
03/07 21:35:49,KRW-WAVES,0.274310035,sell,24720.0,Sell-1: 74.7 >= 70 and0.54862007 / 2 > 5000 / 24770.0
03/07 21:36:03,KRW-WAVES,0.4060089321965083,buy,24630.0,Buy-2: KRW-WAVES / 24640.0 > 23448.0 and 23448.0 > 23167.0
03/07 21:36:04,KRW-WAVES,0.2739734,sell,24630.0,Sell-1: 73.8 >= 70 and0.5479468 / 2 > 5000 / 24620.0
03/07 21:36:18,KRW-WAVES,0.4056795131845842,buy,24650.0,Buy-2: KRW-WAVES / 24690.0 > 23458.0 and 23458.0 > 23174.0
03/07 21:36:19,KRW-WAVES,0.2745054,sell,24650.0,Sell-1: 74.3 >= 70 and0.5490108 / 2 > 5000 / 24650.0
03/07 21:36:34,KRW-WAVES,0.40551500405515006,buy,24660.0,Buy-2: KRW-WAVES / 24660.0 > 23454.0 and 23454.0 > 23171.0
03/07 21:36:34,KRW-WAVES,0.273717745,sell,24660.0,Sell-1: 74.1 >= 70 and0.54743549 / 2 > 5000 / 24660.0
03/07 21:36:49,KRW-WAVES,0.4048582995951417,buy,24700.0,Buy-2: KRW-WAVES / 24710.0 > 23462.0 and 23462.0 > 23175.0
03/07 21:36:50,KRW-WAVES,0.274138265,sell,24690.0,Sell-1: 74.5 >= 70 and0.54827653 / 2 > 5000 / 24700.0
03/07 21:37:04,KRW-WAVES,0.40683482506102525,buy,24580.0,Buy-2: KRW-WAVES / 24580.0 > 23444.0 and 23444.0 > 23166.0
03/07 21:37:05,KRW-WAVES,0.273461985,sell,24610.0,Sell-1: 73.5 >= 70 and0.54692397 / 2 > 5000 / 24610.0
03/07 21:37:19,KRW-WAVES,0.40584415584415584,buy,24640.0,Buy-2: KRW-WAVES / 24640.0 > 23448.0 and 23448.0 > 23168.0
03/07 21:37:20,KRW-WAVES,0.273995535,sell,24640.0,Sell-1: 74.0 >= 70 and0.54799107 / 2 > 5000 / 24640.0
03/07 21:37:35,KRW-WAVES,0.4065040650406504,buy,24610.0,Buy-2: KRW-WAVES / 24610.0 > 23442.0 and 23442.0 > 23165.0
03/07 21:37:35,KRW-WAVES,0.273373935,sell,24600.0,Sell-1: 73.7 >= 70 and0.54674787 / 2 > 5000 / 24610.0
03/07 21:37:50,KRW-WAVES,0.407000407000407,buy,24570.0,Buy-2: KRW-WAVES / 24570.0 > 23434.0 and 23434.0 > 23161.0
03/07 21:37:51,KRW-WAVES,0.27349029,sell,24560.0,Sell-1: 73.3 >= 70 and0.54698058 / 2 > 5000 / 24560.0
03/07 21:38:05,KRW-WAVES,0.40535062829347385,buy,24670.0,Buy-2: KRW-WAVES / 24680.0 > 23458.0 and 23458.0 > 23173.0
03/07 22:19:11,KRW-WAVES,0.54692772,sell,24110.0,Bollinger Band Upper
03/07 23:10:27,KRW-WAVES,0.77251073,sell,25610.0,Bollinger Band Upper and over bought
03/08 01:20:05,KRW-WAVES,0.75756549,sell,26200.0,Sell-4: 26270<26314and26200.0<26270
03/08 01:47:15,KRW-WAVES,0.37299515106303616,buy,26800.0,Buy-2: KRW-WAVES / 26394 > 26382 and 77.3 <= 60 
03/08 03:10:12,KRW-WAVES,0.73546753,sell,26360.0,Sell-4: 26588<26674and26370.0<26588
03/08 03:10:33,KRW-NEAR,0.8278145695364238,buy,12080.0,Bollinger Band Upper
03/08 03:10:46,KRW-NEAR,1.60341256,sell,12090.0,Sell-4: 12188<12336and12100.0<12188
03/08 03:11:01,KRW-NEAR,0.8291873963515755,buy,12060.0,Bollinger Band Upper
03/08 03:11:14,KRW-NEAR,1.60314428,sell,12080.0,Sell-4: 12188<12336and12090.0<12188
03/08 03:11:31,KRW-NEAR,0.8271298593879239,buy,12090.0,Bollinger Band Upper
03/08 03:11:48,KRW-NEAR,1.60154317,sell,12060.0,Sell-4: 12184<12336and12070.0<12184
03/08 03:12:04,KRW-NEAR,0.8298755186721992,buy,12050.0,Bollinger Band Upper
03/08 03:12:17,KRW-NEAR,1.5999616,sell,12090.0,Sell-4: 12190<12337and12100.0<12190
03/08 03:12:34,KRW-NEAR,0.8285004142502072,buy,12080.0,Bollinger Band Upper
03/08 03:12:47,KRW-NEAR,1.5996749,sell,12080.0,Sell-4: 12188<12336and12080.0<12188
03/08 03:13:02,KRW-NEAR,0.8271298593879239,buy,12090.0,Bollinger Band Upper
03/08 03:13:15,KRW-NEAR,1.59544176,sell,12090.0,Sell-4: 12190<12337and12100.0<12190
03/08 03:13:31,KRW-NEAR,0.8271298593879239,buy,12090.0,Bollinger Band Upper
03/08 03:13:44,KRW-NEAR,1.59386023,sell,12080.0,Sell-4: 12188<12336and12090.0<12188
03/08 03:13:59,KRW-NEAR,0.8278145695364238,buy,12080.0,Bollinger Band Upper
03/08 03:14:12,KRW-NEAR,1.58964842,sell,12090.0,Sell-4: 12190<12337and12110.0<12190
03/08 03:14:27,KRW-NEAR,0.8278145695364238,buy,12080.0,Bollinger Band Upper
03/08 03:14:40,KRW-NEAR,1.58807264,sell,12080.0,Sell-4: 12188<12336and12080.0<12188
03/08 03:14:55,KRW-NEAR,0.8278145695364238,buy,12080.0,Bollinger Band Upper
03/08 03:15:08,KRW-NEAR,1.58519587,sell,12060.0,Sell-4: 12122<12313and12070.0<12122
03/08 03:15:24,KRW-NEAR,0.8285004142502072,buy,12070.0,Bollinger Band Upper
03/08 03:15:37,KRW-NEAR,1.57839097,sell,12070.0,Sell-4: 12124<12314and12080.0<12124
03/08 03:15:54,KRW-NEAR,0.8298755186721992,buy,12050.0,Bollinger Band Upper
03/08 03:16:07,KRW-NEAR,1.57683815,sell,12060.0,Sell-4: 12122<12313and12080.0<12122
03/08 03:16:23,KRW-NEAR,0.8278145695364238,buy,12080.0,Bollinger Band Upper
03/08 03:16:36,KRW-NEAR,1.57266114,sell,12110.0,Sell-4: 12132<12316and12110.0<12132
03/08 03:18:46,KRW-NEAR,0.8278145695364238,buy,12080.0,Bollinger Band Upper
03/08 03:18:59,KRW-NEAR,1.56978729,sell,12080.0,Sell-4: 12126<12314and12100.0<12126
03/08 03:19:14,KRW-NEAR,0.8271298593879239,buy,12090.0,Bollinger Band Upper
03/08 03:19:27,KRW-NEAR,1.56694576,sell,12080.0,Sell-4: 12126<12314and12090.0<12126
03/08 03:19:43,KRW-NEAR,0.8278145695364238,buy,12080.0,Bollinger Band Upper
03/08 03:19:56,KRW-NEAR,1.56409771,sell,12090.0,Sell-4: 12128<12314and12100.0<12128
03/08 03:20:11,KRW-NEAR,0.8278145695364238,buy,12080.0,Bollinger Band Upper
03/08 03:20:24,KRW-NEAR,1.56383493,sell,12070.0,Sell-4: 12088<12292and12090.0<12088
03/08 03:20:40,KRW-NEAR,0.8285004142502072,buy,12070.0,Bollinger Band Upper
03/08 03:20:52,KRW-NEAR,1.56099623,sell,12060.0,Sell-4: 12086<12291and12070.0<12086
03/08 03:21:08,KRW-NEAR,0.8291873963515755,buy,12060.0,Bollinger Band Upper
03/08 03:21:21,KRW-NEAR,1.55944887,sell,12040.0,Sell-4: 12082<12290and12050.0<12082
03/08 03:21:37,KRW-NEAR,0.8305647840531561,buy,12040.0,Bollinger Band Upper
03/08 03:21:55,KRW-NEAR,1.55403932,sell,12040.0,Sell-4: 12082<12290and12050.0<12082
03/08 03:22:11,KRW-NEAR,0.8305647840531561,buy,12040.0,Bollinger Band Upper
03/08 03:22:24,KRW-NEAR,1.55121629,sell,12040.0,Sell-4: 12082<12290and12050.0<12082
03/08 03:22:40,KRW-NEAR,0.8291873963515755,buy,12060.0,Bollinger Band Upper
